"pred" "po"
101.73 104.42
119.59 118.18
117.74 119.19
104.09 103.78
95.25 98.4
113.91 111.69
119.03 116.32
110.09 111.91
105.43 103.45
112.22 110.27
118.35 119.34
102.1 100.97
98.94 103.1
101.27 101.97
109.79 110.1
108.7 110.67
112.4 109.16
117.69 119.24
107.53 106.63
97.36 99.94
102.64 101.05
110.58 106.16
106.96 108.4
110.7 115.93
104.45 103.54
102.3 102.89
116.55 116.25
119.97 118.48
98.26 99.54
100.92 101.7
119.52 118.93
102.88 105.35
110.03 110.69
108.58 110.11
110.75 113.62
100.46 98.48
116.66 117.3
118 113.99
102.9 101.04
113.09 110.94
114.32 109.11
114.06 115.89
119.48 117.26
118.05 119.6
107.96 104.58
104.16 102.18
116.5 118.71
99.88 100.26
116.81 118.96
98.12 97.8
118.76 121.18
103.78 103.28
115.8 115.35
117.39 116.75
104.52 104.75
96.22 94.85
109.4 105.15
95.74 95.22
104.19 102.87
102.47 102.89
114.2 115.21
110.41 110.46
102.52 105.36
98.14 97.57
108.2 110.83
115.21 113.35
105.08 103.88
99.62 96.17
116.32 115.44
99.03 97.98
102.16 102.21
119.17 117.47
103.16 101.36
102.56 98.94
103.29 101.02
111.9 108.44
95.15 94.33
104.84 104.81
111.23 112.41
100.46 99.41
109.62 108.65
112.69 114.39
109.19 107.46
95.06 98.73
111.36 111.79
107.9 108.19
98.3 97.71
118.46 116.7
107.02 110.52
114.98 113.65
103.9 100.36
110.41 112.44
98.59 99.08
118.47 118
99.23 98.01
100.59 101.36
118.6 120.76
105.15 104.47
101.54 102.89
107.53 105.34
111.66 112.14
111.58 112.95
109.41 111.24
110.3 109.97
96.48 98.19
102.18 99.8
101.93 101.59
98.38 96.22
117.82 113.11
103.54 105.19
106 107.57
95.34 98.49
109.49 108.44
97.45 94.15
106.43 102.24
105.35 108.79
110.48 110.41
113.97 115.22
103.16 104.73
106.25 104.12
109.18 110.22
97 96.43
105.03 104.71
96.97 100.09
113.72 109.67
103.49 104.05
105.12 105.9
103.04 104.99
104.56 104.25
97.68 97.87
112.18 114.13
99.76 96.14
106.02 105.46
105.61 107.85
108.28 109.35
112.85 110.91
112.49 111.5
103.43 103.42
100.65 99.97
110.34 110.41
98.02 94.86
109.65 107.73
107.87 110.7
96.36 94.4
98.41 95.18
117.65 116.57
114.19 115.17
108.28 108.98
105.39 105.22
119.29 121.13
